company,job_id,title,location,url
Brattle Group,4689623005,2026 Research Analyst - Competition,"London, England, United Kingdom",https://job-boards.greenhouse.io/thebrattlegroup/jobs/4689623005
Brattle Group,4695890005,2026 Research Analyst  - International Arbitration (12-Month Contract) ,"London, England, United Kingdom",https://job-boards.greenhouse.io/thebrattlegroup/jobs/4695890005
Brattle Group,4672002005,2026 Research Analyst  - International Arbitration (12-Month Contract) - Fluent in English & German ,"London, England, United Kingdom",https://job-boards.greenhouse.io/thebrattlegroup/jobs/4672002005
Brattle Group,4677841005,2026 Research Analyst Intern - Economics & Finance,"London, England, United Kingdom",https://job-boards.greenhouse.io/thebrattlegroup/jobs/4677841005
Brattle Group,4693255005,"Associate (Multiple Positions) - Boston, MA","Boston, Massachusetts, United States",https://job-boards.greenhouse.io/thebrattlegroup/jobs/4693255005
Brattle Group,4701160005,Associate - Securities,"Sydney, New South Wales, Australia",https://job-boards.greenhouse.io/thebrattlegroup/jobs/4701160005
Brattle Group,4693375005,"Director, Global Workplace Operations","Washington, District of Columbia, United States",https://job-boards.greenhouse.io/thebrattlegroup/jobs/4693375005
Brattle Group,4701153005,Research Associate - Competition,"Sydney, New South Wales, Australia",https://job-boards.greenhouse.io/thebrattlegroup/jobs/4701153005
Brattle Group,4693263005,"Research Associate (Multiple Positions) - Boston, MA","Boston, Massachusetts, United States",https://job-boards.greenhouse.io/thebrattlegroup/jobs/4693263005
Brattle Group,4706101005,Senior Administrator,"Washington, District of Columbia, United States",https://job-boards.greenhouse.io/thebrattlegroup/jobs/4706101005
Brattle Group,4668485005,Senior Administrator,"San Francisco, California, United States",https://job-boards.greenhouse.io/thebrattlegroup/jobs/4668485005
Brattle Group,4693911005,"Senior Associate (Multiple Positions) - Boston, MA","Boston, Massachusetts, United States",https://job-boards.greenhouse.io/thebrattlegroup/jobs/4693911005
Brattle Group,4673775005,Senior Director of Information Technology,"Boston, Massachusetts, United States",https://job-boards.greenhouse.io/thebrattlegroup/jobs/4673775005
Brattle Group,4673781005,Senior Director of Information Technology,"Chicago, Illinois, United States",https://job-boards.greenhouse.io/thebrattlegroup/jobs/4673781005
Brattle Group,4673780005,Senior Director of Information Technology,"Washington, District of Columbia, United States",https://job-boards.greenhouse.io/thebrattlegroup/jobs/4673780005
Brattle Group,4673779005,Senior Director of Information Technology,"New York, New York, United States",https://job-boards.greenhouse.io/thebrattlegroup/jobs/4673779005
