company,job_id,title,location,department,business_unit,work_option,url,pid
Millennium,REQ-30816,Trade Floor Support Engineer,"New York, New York, United States of America",Information Technology,IT Infrastructure,onsite,https://career.mlp.com/careers/job/755958538872,755958538872
Millennium,REQ-30709,Executive Support Ops Lead,"New York, New York, United States of America",Information Technology,IT Infrastructure,onsite,https://career.mlp.com/careers/job/755958200661,755958200661
Millennium,REQ-30712,Executive Support Engineer,"New York, New York, United States of America",Information Technology,IT Infrastructure,onsite,https://career.mlp.com/careers/job/755958200658,755958200658
Millennium,REQ-30661,People Operations Associate,"New York, New York, United States of America",Human Resources,People Services,onsite,https://career.mlp.com/careers/job/755958134101,755958134101
Millennium,REQ-30530,Data Center Specialist,"Secaucus, New Jersey, United States of America",Information Technology,IT Infrastructure,onsite,https://career.mlp.com/careers/job/755958070247,755958070247
Millennium,REQ-30525,Event Coordinator (Consultant),"New York, New York, United States of America",Human Resources,People & Culture Strategy,onsite,https://career.mlp.com/careers/job/755958105780,755958105780
Millennium,REQ-30483,Portfolio Researcher,"New York, New York, United States of America",Risk Management,Portfolio Research,onsite,https://career.mlp.com/careers/job/755958015047,755958015047
Millennium,REQ-30429,Compliance Analyst - Control Room,"New York, New York, United States of America",Compliance,Regulatory Compliance,onsite,https://career.mlp.com/careers/job/755957934551,755957934551
Millennium,REQ-30403,Compliance Associate - Experts & Research,"New York, New York, United States of America",Compliance,Compliance Surveillance Program,onsite,https://career.mlp.com/careers/job/755957913140,755957913140
Millennium,REQ-30350,Quantitative Researcher,"New York, New York, United States of America",Information Technology,Unknown,onsite,https://career.mlp.com/careers/job/755957852765,755957852765
Millennium,REQ-30363,Head of Operational Audit,"New York, New York, United States of America",Management Controls & Internal Audit,Audit,onsite,https://career.mlp.com/careers/job/755957854957,755957854957
Millennium,REQ-30291,Quantitative Researcher - Treasury,"New York, New York, United States of America",Information Technology,FIC & Risk Technology,onsite,https://career.mlp.com/careers/job/755957819771,755957819771
Millennium,REQ-30167,Senior Quantitative Developer,"New York, New York, United States of America",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755957773457,755957773457
Millennium,REQ-30168,"Fixed Income Business Manager, GFI Secured Financing Business Activities","New York, New York, United States of America",Trading,Fixed Income,onsite,https://career.mlp.com/careers/job/755957773854,755957773854
Millennium,REQ-30215,Security Engineer,"Miami, Florida, United States of America",Information Technology,IT Infrastructure,onsite,https://career.mlp.com/careers/job/755957784264,755957784264
Millennium,REQ-30157,Cloud Engineer,"Miami, Florida, United States of America",Information Technology,IT Infrastructure,onsite,https://career.mlp.com/careers/job/755957630980,755957630980
