company,job_id,title,location,url
CRA,7239745,(2026 PhD/ABD graduates) Senior Associate (Antitrust & Competition Economics practice),"Brussels, Belgium; Dusseldorf, Germany; London, United Kingdom; Munich, Germany",https://job-boards.greenhouse.io/charlesriverassociates/jobs/7239745
CRA,6302295,Administrative Coordinator (Labor & Employment practice),"Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/6302295
CRA,2561787,Analyst/Associate - Advisory & Commercial Strategy (Life Sciences practice),"Boston, MA, United States; New York, NY, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/2561787
CRA,4432386,Analyst/Associate - Litigation (Life Sciences practice),"Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/4432386
CRA,7195671,Analyst/Associate - Litigation (Life Sciences practice),"Toronto, ON, Canada",https://job-boards.greenhouse.io/charlesriverassociates/jobs/7195671
CRA,5312426,Associate/eDiscovery (Forensic Services practice),"Boston, MA, United States; Chicago, IL, United States; Dallas, Texas, United States; New York, NY, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/5312426
CRA,1064050,Associate Principal (Antitrust & Competition Economics),"Oakland, CA, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/1064050
CRA,4208441,Associate Principal/Cybersecurity & Incident Response (Forensic Services practice),"Boston, MA, United States; Chicago, IL, United States; Dallas, Texas, United States; Houston, Texas, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/4208441
CRA,6419510,Associate Principal/Cybersecurity & Incident Response (Forensic Services practice),"Toronto, ON, Canada",https://job-boards.greenhouse.io/charlesriverassociates/jobs/6419510
CRA,766292,Associate Principal (European Competition practice),"Brussels, Belgium",https://job-boards.greenhouse.io/charlesriverassociates/jobs/766292
CRA,766362,Associate Principal (European Competition practice),"London, United Kingdom",https://job-boards.greenhouse.io/charlesriverassociates/jobs/766362
CRA,7680353,Associate Principal/Forensic AI Engineer (Forensic Services practice),"Boston, MA, United States; Chicago, IL, United States; Dallas, Texas, United States; New York, NY, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/7680353
CRA,7001332,Associate Principal/Full Stack Developer (Forensic Services practice),"Boston, MA, United States; Chicago, IL, United States; New York, NY, United States; Oakland, CA, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/7001332
CRA,5592083,Associate Principal (Intellectual Property practice),"Chicago, IL, United States; Houston, Texas, United States; New York, NY, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/5592083
CRA,6695875,Associate Principal/Litigation Services (Energy practice),"Boston, MA, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/6695875
CRA,7001361,Associate Principal/Programmatic AdTech Engineer (Forensic Services practice),"Boston, MA, United States; Chicago, IL, United States; New York, NY, United States; Oakland, CA, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/7001361
CRA,6283853,Associate Principal/Utility Regulation and Finance (Energy practice),"Boston, MA, United States; New York, NY, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/6283853
CRA,6911425,Associate Principal/Wholesale Power Markets Consultant (Energy practice),"Boston, MA, United States; New York, NY, United States; Salt Lake City, UT, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/6911425
