company,job_id,title,location,url
Jump Trading,7810851,Accounts Payable Lead ,GIFT City,https://www.jumptrading.com/hr/job?gh_jid=7810851
Jump Trading,4982814,AI Research Scientist | Research & Development,"New York, London, Singapore",https://www.jumptrading.com/hr/job?gh_jid=4982814
Jump Trading,7773688,Applied AI Engineer (AI Adoption),"New York, Chicago, London",https://www.jumptrading.com/hr/job?gh_jid=7773688
Jump Trading,7282220,Campus AI/ML Researcher (Spring 2026 / Fall 2026) ,Shanghai; Singapore; Hong Kong,https://www.jumptrading.com/hr/job?gh_jid=7282220
Jump Trading,7217856,Campus Crypto Researcher (Full-Time),London,https://www.jumptrading.com/hr/job?gh_jid=7217856
Jump Trading,7362318,Campus Crypto Researcher (Intern),London,https://www.jumptrading.com/hr/job?gh_jid=7362318
Jump Trading,7565728,Campus Trading Team Software Engineer  (Intern),Hong Kong,https://www.jumptrading.com/hr/job?gh_jid=7565728
Jump Trading,7861977,Clearing Associate,Amsterdam,https://www.jumptrading.com/hr/job?gh_jid=7861977
Jump Trading,7348445,Clearing Associate (Weekend Support),Chicago,https://www.jumptrading.com/hr/job?gh_jid=7348445
Jump Trading,6405445,Crypto Production Engineer,Sydney,https://www.jumptrading.com/hr/job?gh_jid=6405445
Jump Trading,7715291,Data Center Engineer ,Mumbai,https://www.jumptrading.com/hr/job?gh_jid=7715291
Jump Trading,7495806,Data Engineer | Post Trade Analytics,Shanghai,https://www.jumptrading.com/hr/job?gh_jid=7495806
Jump Trading,7483202,Data Scientist | Post Trade Analytics,Shanghai,https://www.jumptrading.com/hr/job?gh_jid=7483202
Jump Trading,7767018,Data Strategist | Broker & Macro Data,New York,https://www.jumptrading.com/hr/job?gh_jid=7767018
Jump Trading,6603013,Deep Learning Researcher | Trading Team,"Shanghai, Singapore, Hong Kong",https://www.jumptrading.com/hr/job?gh_jid=6603013
Jump Trading,6004172, DevOps/High Performance Trading System Engineer ,London ,https://www.jumptrading.com/hr/job?gh_jid=6004172
Jump Trading,7951911,Digital Modem Engineer,"Austin, Chicago, New York, London or Bristol",https://www.jumptrading.com/hr/job?gh_jid=7951911
Jump Trading,7974587,Early Career Talent Development Programs Specialist ,Singapore,https://www.jumptrading.com/hr/job?gh_jid=7974587
Jump Trading,7757172,Enterprise Network Engineer ,London,https://www.jumptrading.com/hr/job?gh_jid=7757172
Jump Trading,7733886,Fee Reconciliation Associate,Gift City,https://www.jumptrading.com/hr/job?gh_jid=7733886
Jump Trading,6647764,Field Engineer/Microwave Tower Technician | TowerPros,"Sioux Falls, SD or Spokane, WA",https://www.jumptrading.com/hr/job?gh_jid=6647764
Jump Trading,7966730,"Financial Operations Associate, Corporate Actions","Chicago, IL or New York, NY",https://www.jumptrading.com/hr/job?gh_jid=7966730
Jump Trading,7838715,HPC Data Center Developer,"Chicago, IL, United States, New York, NY, United States",https://www.jumptrading.com/hr/job?gh_jid=7838715
Jump Trading,7819624,HPC Data Center Electrical Engineer,Chicago or New York ,https://www.jumptrading.com/hr/job?gh_jid=7819624
Jump Trading,7781551,HPC Data Center Infrastructure Planning Lead,"Chicago, New York",https://www.jumptrading.com/hr/job?gh_jid=7781551
Jump Trading,7781613,HPC Data Center Operational Lead,Chicago or New York ,https://www.jumptrading.com/hr/job?gh_jid=7781613
Jump Trading,7781600,HPC Data Center Technician,"Carrollton, TX",https://www.jumptrading.com/hr/job?gh_jid=7781600
Jump Trading,6786146,HPC Operations Engineer,Sydney and Mumbai,https://www.jumptrading.com/hr/job?gh_jid=6786146
Jump Trading,7405132,HPC Operations Engineer,London,https://www.jumptrading.com/hr/job?gh_jid=7405132
Jump Trading,5752845,HPC Production Engineer,Chicago,https://www.jumptrading.com/hr/job?gh_jid=5752845
Jump Trading,6780244,HPC Production Engineer,Sydney,https://www.jumptrading.com/hr/job?gh_jid=6780244
Jump Trading,7405156,HPC Production Engineer,London,https://www.jumptrading.com/hr/job?gh_jid=7405156
Jump Trading,7870947,HR Business Partner,London,https://www.jumptrading.com/hr/job?gh_jid=7870947
Jump Trading,7926278,HR Coordinator ,London,https://www.jumptrading.com/hr/job?gh_jid=7926278
Jump Trading,7606254,Infrastructure Engineer,Mumbai,https://www.jumptrading.com/hr/job?gh_jid=7606254
Jump Trading,7946175,Leadership and Professional Development Specialist,"Hong Kong, Singapore, Shanghai or Sydney",https://www.jumptrading.com/hr/job?gh_jid=7946175
Jump Trading,7775305,Lead Site Reliability Engineer | Production Infrastructure,Chicago,https://www.jumptrading.com/hr/job?gh_jid=7775305
Jump Trading,6928404,Network Engineer,Chicago or New York,https://www.jumptrading.com/hr/job?gh_jid=6928404
Jump Trading,7773637,Network Transport Architect,"Chicago, New York",https://www.jumptrading.com/hr/job?gh_jid=7773637
Jump Trading,7340244,"Portfolio Finance Trader, SBL Specialist | Finance",Shanghai or Hong Kong,https://www.jumptrading.com/hr/job?gh_jid=7340244
Jump Trading,7875817,Production Reliability Engineer | Trading Team,Chicago,https://www.jumptrading.com/hr/job?gh_jid=7875817
Jump Trading,7460950,Quantamental Research Analyst,Singapore,https://www.jumptrading.com/hr/job?gh_jid=7460950
Jump Trading,6172858,Quantitative Developer | Trading team,Hong Kong,https://www.jumptrading.com/hr/job?gh_jid=6172858
Jump Trading,7767735,Quantitative Developer | Trading Team,New York City or Chicago ,https://www.jumptrading.com/hr/job?gh_jid=7767735
Jump Trading,6190021,Quantitative Developer | Trading Team ,Shanghai,https://www.jumptrading.com/hr/job?gh_jid=6190021
Jump Trading,6098760,Quantitative Researcher | Trading Team,Hong Kong,https://www.jumptrading.com/hr/job?gh_jid=6098760
Jump Trading,5830344,Quantitative Researcher | Trading Team,Amsterdam,https://www.jumptrading.com/hr/job?gh_jid=5830344
Jump Trading,3115552,Quantitative Researcher | Trading Team,London,https://www.jumptrading.com/hr/job?gh_jid=3115552
Jump Trading,5870589,Quantitative Researcher | Trading Team,Singapore,https://www.jumptrading.com/hr/job?gh_jid=5870589
Jump Trading,7294191,Quantitative Researcher | Trading Team ,New York City,https://www.jumptrading.com/hr/job?gh_jid=7294191
Jump Trading,8000160,"Reconciliation Associate, Dividend & Coupon",Gift City,https://www.jumptrading.com/hr/job?gh_jid=8000160
Jump Trading,7977686,"Research Engineer, Pre-Training","New York, London, Chicago",https://www.jumptrading.com/hr/job?gh_jid=7977686
Jump Trading,6032511,Research Scientist/Research Engineer | Deep Learning,"Chicago, New York, London",https://www.jumptrading.com/hr/job?gh_jid=6032511
Jump Trading,7960722,RF Hardware Engineer,"Chicago, IL ",https://www.jumptrading.com/hr/job?gh_jid=7960722
Jump Trading,7348441,Risk Manager | Equities,New York ,https://www.jumptrading.com/hr/job?gh_jid=7348441
Jump Trading,6648897,Risk Manager (Weekend support),Singapore ,https://www.jumptrading.com/hr/job?gh_jid=6648897
Jump Trading,6826011,Security Engineer,Singapore and Sydney,https://www.jumptrading.com/hr/job?gh_jid=6826011
Jump Trading,7946643,Site Reliability Engineer ,Singapore,https://www.jumptrading.com/hr/job?gh_jid=7946643
Jump Trading,7929540,Software Engineer | Trading Team,Shanghai,https://www.jumptrading.com/hr/job?gh_jid=7929540
Jump Trading,6084822,Software Engineer | Trading Team,Singapore,https://www.jumptrading.com/hr/job?gh_jid=6084822
Jump Trading,7817507,Talent Development Specialist,London,https://www.jumptrading.com/hr/job?gh_jid=7817507
Jump Trading,6870551,Trader ,Shanghai,https://www.jumptrading.com/hr/job?gh_jid=6870551
Jump Trading,4862925,Trader | Crypto ,Singapore,https://www.jumptrading.com/hr/job?gh_jid=4862925
Jump Trading,7572460,Trader | Global Centralized Trading Desk,"Chicago, IL",https://www.jumptrading.com/hr/job?gh_jid=7572460
